"Notes"	"County of Residence"	"County of Residence Code"	"Number of Prenatal Visits"	"Number of Prenatal Visits Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Mother's Education"	"Mother's Education Code"	"NICU Admission"	"NICU Admission Code"	Births	% of Total Births	Average Age of Mother (years)	Average OE Gestational Age (weeks)	Average Birth Weight (grams)	Average Pre-pregnancy BMI	Average Number of Prenatal Visits	Average Interval Since Last Live Birth (months)
	"Prince George's County, MD"	"24033"	"1 prenatal visits"	"1"	"35-39 years"	"35-39"	"High school graduate or GED completed"	"3"	"No"	"2"	16	0.00%	36.75	38.81	3253.75	26.32	1.00	70.73
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"15-19 years"	"15-19"	"8th grade or less"	"1"	"No"	"2"	11	0.00%	17.55	38.45	3146.91	22.32	2.00	21.33
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"15-19 years"	"15-19"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	33	0.01%	17.39	38.36	3105.24	23.90	2.00	16.67
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"20-24 years"	"20-24"	"8th grade or less"	"1"	"No"	"2"	16	0.00%	22.12	38.31	3140.12	26.05	2.00	49.18
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"20-24 years"	"20-24"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	32	0.01%	22.03	37.78	2977.41	26.51	2.00	33.95
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	37	0.01%	22.11	38.00	3028.84	24.80	2.00	31.71
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"20-24 years"	"20-24"	"Some college credit, but not a degree"	"4"	"No"	"2"	16	0.00%	22.81	37.94	3477.33	29.58	2.00	14.50
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"25-29 years"	"25-29"	"8th grade or less"	"1"	"No"	"2"	16	0.00%	27.19	37.19	3008.06	27.01	2.00	56.38
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"25-29 years"	"25-29"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	17	0.00%	26.29	38.76	3287.88	25.91	2.00	44.83
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	53	0.02%	26.75	38.28	3191.04	29.64	2.00	50.61
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	22	0.01%	27.32	38.05	3239.82	31.12	2.00	43.45
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"25-29 years"	"25-29"	"Associate degree (AA, AS)"	"5"	"No"	"2"	12	0.00%	27.33	39.58	3333.83	27.93	2.00	31.80
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	18	0.01%	27.00	39.00	3365.00	27.43	2.00	50.38
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"30-34 years"	"30-34"	"8th grade or less"	"1"	"No"	"2"	23	0.01%	32.22	38.61	3275.30	30.00	2.00	62.53
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"30-34 years"	"30-34"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	11	0.00%	32.00	36.73	3110.27	27.63	2.00	53.88
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	32	0.01%	32.00	37.88	3052.84	28.98	2.00	60.30
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"No"	"2"	21	0.01%	31.71	37.76	3148.43	30.59	2.00	62.81
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	30	0.01%	32.07	37.83	3002.90	28.18	2.00	57.00
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"35-39 years"	"35-39"	"High school graduate or GED completed"	"3"	"No"	"2"	19	0.01%	36.68	37.74	3150.79	29.13	2.00	66.31
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"35-39 years"	"35-39"	"Some college credit, but not a degree"	"4"	"No"	"2"	11	0.00%	36.45	35.90	2640.30	32.07	2.00	52.00
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"35-39 years"	"35-39"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	15	0.00%	36.47	37.53	3387.80	31.33	2.00	50.44
	"Prince George's County, MD"	"24033"	"2 prenatal visits"	"2"	"35-39 years"	"35-39"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	12	0.00%	36.75	38.25	3300.58	31.18	2.00	47.00
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"15-19 years"	"15-19"	"8th grade or less"	"1"	"No"	"2"	14	0.00%	17.43	39.00	3292.14	25.11	3.00	20.00
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"15-19 years"	"15-19"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	26	0.01%	17.92	38.92	3262.85	25.32	3.00	21.62
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"15-19 years"	"15-19"	"High school graduate or GED completed"	"3"	"No"	"2"	14	0.00%	18.43	39.36	3262.71	23.21	3.00	21.00
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"20-24 years"	"20-24"	"8th grade or less"	"1"	"No"	"2"	32	0.01%	22.34	38.88	3240.28	26.13	3.00	42.68
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"20-24 years"	"20-24"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	31	0.01%	21.94	38.23	3031.90	26.70	3.00	41.14
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"Yes"	"1"	10	0.00%	22.70	31.40	1746.30	30.61	3.00	27.00
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	90	0.03%	22.06	38.06	3063.42	26.75	3.00	32.05
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"20-24 years"	"20-24"	"Some college credit, but not a degree"	"4"	"No"	"2"	20	0.01%	22.70	38.40	3108.30	24.73	3.00	30.83
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"25-29 years"	"25-29"	"8th grade or less"	"1"	"No"	"2"	35	0.01%	27.20	38.97	3195.46	26.62	3.00	56.70
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"25-29 years"	"25-29"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	32	0.01%	26.72	38.03	3059.28	27.58	3.00	55.52
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"Yes"	"1"	11	0.00%	26.91	31.55	1870.00	26.65	3.00	35.00
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	72	0.02%	27.04	38.29	3137.14	27.67	3.00	50.93
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	51	0.01%	26.94	38.80	3309.51	27.77	3.00	46.81
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"25-29 years"	"25-29"	"Associate degree (AA, AS)"	"5"	"No"	"2"	12	0.00%	27.33	39.18	3405.64	28.53	3.00	33.17
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	25	0.01%	27.20	37.00	3109.75	27.22	3.00	37.45
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"30-34 years"	"30-34"	"8th grade or less"	"1"	"No"	"2"	37	0.01%	31.78	38.49	3371.76	28.18	3.00	60.74
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"30-34 years"	"30-34"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	19	0.01%	31.37	38.26	3283.79	28.86	3.00	65.20
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	41	0.01%	32.05	37.54	3120.53	28.87	3.00	68.16
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"No"	"2"	20	0.01%	31.50	38.65	3361.90	29.16	3.00	58.14
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	36	0.01%	31.78	38.89	3466.33	27.68	3.00	56.29
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	19	0.01%	32.21	36.58	2858.84	26.36	3.00	38.73
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"35-39 years"	"35-39"	"8th grade or less"	"1"	"No"	"2"	18	0.01%	37.00	39.06	3557.17	26.93	3.00	86.77
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"35-39 years"	"35-39"	"High school graduate or GED completed"	"3"	"No"	"2"	27	0.01%	36.93	38.07	3310.22	32.09	3.00	56.89
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"35-39 years"	"35-39"	"Some college credit, but not a degree"	"4"	"No"	"2"	12	0.00%	36.42	37.50	3070.92	29.74	3.00	53.30
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"35-39 years"	"35-39"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	19	0.01%	36.53	38.63	3179.32	25.59	3.00	78.00
	"Prince George's County, MD"	"24033"	"3 prenatal visits"	"3"	"40-44 years"	"40-44"	"8th grade or less"	"1"	"No"	"2"	14	0.00%	41.86	38.21	3448.57	27.22	3.00	93.92
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"15-19 years"	"15-19"	"8th grade or less"	"1"	"No"	"2"	14	0.00%	18.07	38.21	3032.07	23.60	4.00	Not Applicable
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"15-19 years"	"15-19"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	55	0.02%	17.55	37.84	2953.89	24.92	4.00	32.25
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"15-19 years"	"15-19"	"High school graduate or GED completed"	"3"	"No"	"2"	18	0.01%	18.50	38.44	3206.22	27.33	4.00	21.00
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"20-24 years"	"20-24"	"8th grade or less"	"1"	"No"	"2"	39	0.01%	22.05	38.90	3208.59	25.64	4.00	46.35
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"20-24 years"	"20-24"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	57	0.02%	21.72	38.67	3177.68	26.84	4.00	32.76
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"Yes"	"1"	12	0.00%	22.33	33.42	2185.42	26.46	4.00	60.33
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	79	0.02%	22.04	38.54	3190.42	26.71	4.00	30.48
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"20-24 years"	"20-24"	"Some college credit, but not a degree"	"4"	"No"	"2"	36	0.01%	22.53	38.50	3119.89	30.16	4.00	32.73
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"25-29 years"	"25-29"	"8th grade or less"	"1"	"No"	"2"	53	0.02%	26.77	38.19	3150.72	27.29	4.00	48.06
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"25-29 years"	"25-29"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	35	0.01%	27.34	38.57	3200.74	28.78	4.00	56.79
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"Yes"	"1"	22	0.01%	27.64	33.05	1805.18	31.83	4.00	44.00
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	82	0.02%	26.79	38.79	3318.59	27.51	4.00	51.41
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"Yes"	"1"	11	0.00%	26.64	31.45	1946.64	32.06	4.00	50.17
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	68	0.02%	26.84	38.46	3200.09	28.93	4.00	35.88
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"25-29 years"	"25-29"	"Associate degree (AA, AS)"	"5"	"No"	"2"	12	0.00%	27.00	38.83	3200.00	29.48	4.00	33.00
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	40	0.01%	27.00	38.60	3240.32	30.29	4.00	39.08
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"30-34 years"	"30-34"	"8th grade or less"	"1"	"No"	"2"	39	0.01%	31.90	37.15	2951.59	27.90	4.00	80.74
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"30-34 years"	"30-34"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	31	0.01%	32.32	36.61	2892.03	30.50	4.00	57.75
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"Yes"	"1"	10	0.00%	31.20	27.70	1107.50	34.84	4.00	86.67
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	63	0.02%	32.13	38.67	3174.22	29.30	4.00	65.26
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"No"	"2"	53	0.02%	31.66	38.04	3140.91	29.95	4.00	55.98
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"30-34 years"	"30-34"	"Associate degree (AA, AS)"	"5"	"No"	"2"	20	0.01%	31.70	38.05	3197.75	30.94	4.00	57.08
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"Yes"	"1"	12	0.00%	32.42	33.00	2241.17	28.16	4.00	36.00
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	46	0.01%	32.07	37.74	3211.93	27.45	4.00	43.21
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	30	0.01%	31.90	37.50	3017.60	29.49	4.00	50.90
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"35-39 years"	"35-39"	"8th grade or less"	"1"	"No"	"2"	34	0.01%	36.50	38.32	3208.91	28.04	4.00	85.46
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"35-39 years"	"35-39"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	22	0.01%	36.86	38.09	3482.59	29.06	4.00	68.56
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"35-39 years"	"35-39"	"High school graduate or GED completed"	"3"	"No"	"2"	27	0.01%	36.81	38.26	3368.52	29.52	4.00	57.15
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"35-39 years"	"35-39"	"Some college credit, but not a degree"	"4"	"No"	"2"	26	0.01%	36.46	38.04	2978.08	29.78	4.00	74.11
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"35-39 years"	"35-39"	"Associate degree (AA, AS)"	"5"	"No"	"2"	10	0.00%	36.50	38.20	3072.00	26.17	4.00	59.62
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"35-39 years"	"35-39"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	37	0.01%	36.78	38.59	3379.43	27.00	4.00	58.16
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"35-39 years"	"35-39"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	25	0.01%	36.36	38.40	3260.40	25.65	4.00	50.23
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"35-39 years"	"35-39"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	"No"	"2"	13	0.00%	35.92	38.38	3159.85	25.65	4.00	45.25
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"40-44 years"	"40-44"	"8th grade or less"	"1"	"No"	"2"	16	0.00%	41.44	37.75	2880.00	30.43	4.00	118.82
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"40-44 years"	"40-44"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	10	0.00%	41.10	38.20	3217.60	28.59	4.00	84.67
	"Prince George's County, MD"	"24033"	"4 prenatal visits"	"4"	"40-44 years"	"40-44"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	13	0.00%	40.85	38.69	3057.15	28.38	4.00	107.20
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"15-19 years"	"15-19"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	68	0.02%	17.63	38.78	3182.75	25.61	5.00	23.86
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"15-19 years"	"15-19"	"High school graduate or GED completed"	"3"	"No"	"2"	39	0.01%	18.64	38.69	3029.54	25.47	5.00	21.33
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"20-24 years"	"20-24"	"8th grade or less"	"1"	"No"	"2"	34	0.01%	21.94	38.56	3237.74	26.74	5.00	41.26
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"20-24 years"	"20-24"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	77	0.02%	21.92	38.73	3156.97	26.89	5.00	33.83
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"Yes"	"1"	15	0.00%	22.53	34.13	2214.80	29.59	5.00	65.50
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	140	0.04%	22.41	38.41	3085.42	26.97	5.00	34.85
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"20-24 years"	"20-24"	"Some college credit, but not a degree"	"4"	"Yes"	"1"	10	0.00%	22.50	32.90	1976.90	27.04	5.00	12.00
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"20-24 years"	"20-24"	"Some college credit, but not a degree"	"4"	"No"	"2"	62	0.02%	22.16	38.68	3178.85	26.07	5.00	32.20
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"25-29 years"	"25-29"	"8th grade or less"	"1"	"No"	"2"	56	0.02%	26.93	38.55	3257.95	26.61	5.00	58.38
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"25-29 years"	"25-29"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	69	0.02%	26.90	38.06	3203.91	28.09	5.00	46.88
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"Yes"	"1"	17	0.00%	26.82	33.00	1837.59	29.11	5.00	34.22
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	146	0.04%	26.75	38.18	3105.84	29.28	5.00	52.02
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"Yes"	"1"	13	0.00%	26.85	32.31	2082.69	29.50	5.00	43.75
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	78	0.02%	27.04	38.18	3217.97	28.82	5.00	42.18
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"25-29 years"	"25-29"	"Associate degree (AA, AS)"	"5"	"No"	"2"	20	0.01%	26.15	37.20	2900.75	25.21	5.00	42.70
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	51	0.01%	27.35	38.41	3177.43	27.42	5.00	38.85
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"25-29 years"	"25-29"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	18	0.01%	27.61	38.39	3314.39	29.85	5.00	26.56
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"8th grade or less"	"1"	"No"	"2"	64	0.02%	31.80	38.48	3379.86	27.92	5.00	69.09
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	54	0.02%	32.04	38.26	3190.85	27.88	5.00	67.15
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"Yes"	"1"	20	0.01%	32.15	32.90	2271.95	31.86	5.00	68.44
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	96	0.03%	31.66	38.40	3261.41	28.40	5.00	64.37
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"Yes"	"1"	10	0.00%	31.60	30.90	1851.70	32.12	5.00	46.80
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"No"	"2"	64	0.02%	32.03	37.78	3085.69	28.10	5.00	52.00
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"Associate degree (AA, AS)"	"5"	"No"	"2"	25	0.01%	31.76	38.24	3301.68	28.51	5.00	64.14
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"Yes"	"1"	11	0.00%	32.09	32.91	1858.45	27.30	5.00	38.50
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	81	0.02%	32.17	38.19	3226.68	27.71	5.00	37.88
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"Yes"	"1"	12	0.00%	31.75	30.08	1469.42	31.65	5.00	42.00
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	43	0.01%	31.98	38.28	3235.91	27.83	5.00	37.24
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"35-39 years"	"35-39"	"8th grade or less"	"1"	"No"	"2"	43	0.01%	36.81	38.28	3410.42	28.17	5.00	74.88
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"35-39 years"	"35-39"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	42	0.01%	36.67	38.48	3302.24	29.67	5.00	96.08
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"35-39 years"	"35-39"	"High school graduate or GED completed"	"3"	"No"	"2"	46	0.01%	37.09	37.89	3139.41	28.86	5.00	90.65
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"35-39 years"	"35-39"	"Some college credit, but not a degree"	"4"	"No"	"2"	34	0.01%	36.94	38.03	3180.47	28.18	5.00	63.88
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"35-39 years"	"35-39"	"Associate degree (AA, AS)"	"5"	"No"	"2"	13	0.00%	36.77	38.23	3344.62	32.45	5.00	72.30
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"35-39 years"	"35-39"	"Bachelor's degree (BA, AB, BS)"	"6"	"Yes"	"1"	21	0.01%	36.81	31.10	2052.86	29.99	5.00	77.00
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"35-39 years"	"35-39"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	52	0.02%	36.83	37.88	3172.13	29.08	5.00	64.95
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"35-39 years"	"35-39"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	35	0.01%	36.94	37.83	3108.83	25.52	5.00	33.94
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"35-39 years"	"35-39"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	"No"	"2"	14	0.00%	36.50	38.64	3232.43	24.73	5.00	28.11
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"40-44 years"	"40-44"	"8th grade or less"	"1"	"No"	"2"	17	0.00%	41.18	38.00	3253.47	27.85	5.00	100.06
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"40-44 years"	"40-44"	"High school graduate or GED completed"	"3"	"No"	"2"	13	0.00%	41.00	36.92	3135.92	31.86	5.00	117.75
	"Prince George's County, MD"	"24033"	"5 prenatal visits"	"5"	"40-44 years"	"40-44"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	11	0.00%	42.00	38.45	3385.45	28.30	5.00	82.50
	"Prince George's County, MD"	"24033"	"6 prenatal visits"	"6"	"15-19 years"	"15-19"	"8th grade or less"	"1"	"No"	"2"	18	0.01%	16.72	37.72	2970.89	23.02	6.00	52.33
	"Prince George's County, MD"	"24033"	"6 prenatal visits"	"6"	"15-19 years"	"15-19"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	57	0.02%	17.47	38.67	3186.33	25.66	6.00	26.40
	"Prince George's County, MD"	"24033"	"6 prenatal visits"	"6"	"15-19 years"	"15-19"	"High school graduate or GED completed"	"3"	"No"	"2"	41	0.01%	18.61	38.34	3057.12	26.58	6.00	14.33
	"Prince George's County, MD"	"24033"	"6 prenatal visits"	"6"	"20-24 years"	"20-24"	"8th grade or less"	"1"	"No"	"2"	56	0.02%	22.46	38.98	3290.73	26.40	6.00	48.49
